"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12182","transposition offers a new performance key","e2e","2026-09-06","passed","2026-09-06","","04-songs.spec.ts","",""
"","11792","a verse range returns exactly the verses asked for","e2e","2026-09-06","passed","2026-09-06","","02-bible.spec.ts","",""
"","11177","an empty state offers to start an outline","e2e","2026-09-06","passed","2026-09-06","","07-notes.spec.ts","",""
"","11299","a saved plan is offered in the recent list","e2e","2026-09-06","passed","2026-09-06","","06-plan.spec.ts","",""
"","11772","settings persist across a restart of the console","e2e","2026-09-06","passed","2026-09-06","","11-settings.spec.ts","",""
"","11266","inspecting a deck reports what it holds before importing","e2e","2026-09-06","passed","2026-09-06","","08-presentations.spec.ts","",""
"","11560","refuses to serve files outside the folders it owns","e2e","2026-09-06","passed","2026-09-06","OBS output server","10-study-displays.spec.ts","",""
"","11562","taking a point puts that point on the audience screen","e2e","2026-09-06","passed","2026-09-06","","07-notes.spec.ts","",""
"","11597","raising sensitivity suppresses a weak detection","e2e","2026-09-06","failed","2026-09-06","","05-detect.spec.ts","",""
"","11179","auto-take is off by default","e2e","2026-09-06","passed","2026-09-06","","05-detect.spec.ts","",""
"","11646","take promotes preview to program and leaves preview intact","e2e","2026-09-06","passed","2026-09-06","","03-live.spec.ts","",""
"","11412","points are added and listed in order","e2e","2026-09-06","passed","2026-09-06","","07-notes.spec.ts","",""
"","13027","clear takes the audience off content without dropping the deck","e2e","2026-09-06","passed","2026-09-06","","03-live.spec.ts","",""
"","12448","picking a theme lists verses, and one stages to preview","e2e","2026-09-06","passed","2026-09-06","study","10-study-displays.spec.ts","",""
"","11513","a plan item stages to preview from the cue list","e2e","2026-09-06","passed","2026-09-06","","06-plan.spec.ts","",""
"","12150","a phrase search ranks matching verses","e2e","2026-09-06","passed","2026-09-06","","02-bible.spec.ts","",""
"","11472","serves the audience page on loopback when started","e2e","2026-09-06","passed","2026-09-06","OBS output server","10-study-displays.spec.ts","",""
"","12204","a compound number is read correctly","e2e","2026-09-06","passed","2026-09-06","","05-detect.spec.ts","",""
"","10805","a plan is saved as a reusable template","e2e","2026-09-06","passed","2026-09-06","","06-plan.spec.ts","",""
"","11808","the panel starts idle rather than pretending to listen","e2e","2026-09-06","passed","2026-09-06","","05-detect.spec.ts","",""
"","11968","a new plan is created and named","e2e","2026-09-06","passed","2026-09-06","","06-plan.spec.ts","",""
"","11494","a reference lookup renders the passage","e2e","2026-09-06","passed","2026-09-06","","02-bible.spec.ts","",""
"","16693","blackout hides output and restore brings it back","e2e","2026-09-06","passed","2026-09-06","","03-live.spec.ts","",""
"","11809","search narrows the library by title and by lyric","e2e","2026-09-06","passed","2026-09-06","","04-songs.spec.ts","",""
"","12297","switching tabs reaches the other study tools","e2e","2026-09-06","passed","2026-09-06","study","10-study-displays.spec.ts","",""
"","11234","media stages as its own deck","e2e","2026-09-06","passed","2026-09-06","media","09-media-theme.spec.ts","",""
"","11193","a deck is renamed and removed","e2e","2026-09-06","passed","2026-09-06","","08-presentations.spec.ts","",""
"","11200","pushes live changes to a connected client","e2e","2026-09-06","passed","2026-09-06","OBS output server","10-study-displays.spec.ts","",""
"","11518","a theme change reaches the live state with no apply step","e2e","2026-09-06","passed","2026-09-06","theme","09-media-theme.spec.ts","",""
"","11646","an empty state offers to create a plan","e2e","2026-09-06","passed","2026-09-06","","06-plan.spec.ts","",""
"","12074","an imported deck stages to preview","e2e","2026-09-06","passed","2026-09-06","","08-presentations.spec.ts","",""
"","12186","settings reset to defaults","e2e","2026-09-06","passed","2026-09-06","","11-settings.spec.ts","",""
"","14136","the preload bridge is exposed with the expected surface","e2e","2026-09-06","passed","2026-09-06","","01-boot.spec.ts","",""
"","11454","an image imports and is copied into the app","e2e","2026-09-06","passed","2026-09-06","media","09-media-theme.spec.ts","",""
"","11513","ordinary speech does not produce a cue","e2e","2026-09-06","passed","2026-09-06","","05-detect.spec.ts","",""
"","11733","importing a translation module from a file is offered","e2e","2026-09-06","passed","2026-09-06","","11-settings.spec.ts","",""
"","11572","monitors are enumerated","e2e","2026-09-06","passed","2026-09-06","screens","10-study-displays.spec.ts","",""
"","11515","an API.Bible key is stored in the user profile and never handed back","e2e","2026-09-06","passed","2026-09-06","","11-settings.spec.ts","",""
"","11293","book-name autocomplete offers completions for a partial name","e2e","2026-09-06","passed","2026-09-06","","02-bible.spec.ts","",""
"","12151","the catalogue offers public-domain translations only","e2e","2026-09-06","passed","2026-09-06","","11-settings.spec.ts","",""
"","13415","stepping the preview never touches the audience screen","e2e","2026-09-06","passed","2026-09-06","","03-live.spec.ts","",""
"","12659","the audience display opens and closes from the panel","e2e","2026-09-06","passed","2026-09-06","screens","10-study-displays.spec.ts","",""
"","12290","an OpenLyrics file imports","e2e","2026-09-06","passed","2026-09-06","","04-songs.spec.ts","",""
"","12054","a ChordPro file imports with its metadata and chords","e2e","2026-09-06","passed","2026-09-06","","04-songs.spec.ts","",""
"","11662","is off by default","e2e","2026-09-06","passed","2026-09-06","OBS output server","10-study-displays.spec.ts","",""
"","12539","scripture, songs and headings are added as cue items","e2e","2026-09-06","passed","2026-09-06","","06-plan.spec.ts","",""
"","11400","a file whose name has spaces, # and & still loads","e2e","2026-09-06","passed","2026-09-06","media","09-media-theme.spec.ts","",""
"","12086","a song stages into preview and then takes live","e2e","2026-09-06","passed","2026-09-06","","04-songs.spec.ts","",""
"","12067","cancelling the import dialog changes nothing","e2e","2026-09-06","passed","2026-09-06","","04-songs.spec.ts","",""
"","13474","preview and program stay independent while staging a second passage","e2e","2026-09-06","passed","2026-09-06","","03-live.spec.ts","",""
"","11659","panel titles match the rail","e2e","2026-09-06","passed","2026-09-06","","01-boot.spec.ts","",""
"","11604","a detection takes straight to the audience screen","e2e","2026-09-06","passed","2026-09-06","","05-detect.spec.ts","",""
"","12241","the installed translations are listed","e2e","2026-09-06","passed","2026-09-06","","11-settings.spec.ts","",""
"","11148","an empty library explains what media is for","e2e","2026-09-06","passed","2026-09-06","media","09-media-theme.spec.ts","",""
"","12156","an ordinal book name is understood","e2e","2026-09-06","passed","2026-09-06","","05-detect.spec.ts","",""
"","11479","the topic list is offered to the operator","e2e","2026-09-06","passed","2026-09-06","study","10-study-displays.spec.ts","",""
"","10906","the default theme is active and named","e2e","2026-09-06","passed","2026-09-06","theme","09-media-theme.spec.ts","",""
"","13071","an empty library explains how to fill it","e2e","2026-09-06","passed","2026-09-06","","04-songs.spec.ts","",""
"","14524","the stage monitor shows the live content","e2e","2026-09-06","passed","2026-09-06","","03-live.spec.ts","",""
"","11061","the live transport starts empty","e2e","2026-09-06","passed","2026-09-06","","01-boot.spec.ts","",""
"","12258","switching translation re-renders the same passage","e2e","2026-09-06","passed","2026-09-06","","02-bible.spec.ts","",""
"","11354","a sermon is deleted","e2e","2026-09-06","passed","2026-09-06","","07-notes.spec.ts","",""
"","11063","topical search returns verses for a theme","e2e","2026-09-06","passed","2026-09-06","study","10-study-displays.spec.ts","",""
"","11867","a Strong's entry is looked up by code","e2e","2026-09-06","passed","2026-09-06","study","10-study-displays.spec.ts","",""
"","12483","the seeded translations are installed and searchable","e2e","2026-09-06","passed","2026-09-06","","01-boot.spec.ts","",""
"","11645","the whole outline previews from the start","e2e","2026-09-06","passed","2026-09-06","","07-notes.spec.ts","",""
"","11630","a verse that does not exist is refused with a usable reason","e2e","2026-09-06","passed","2026-09-06","","02-bible.spec.ts","",""
"","12034","a partial book name still resolves when submitted","e2e","2026-09-06","passed","2026-09-06","","02-bible.spec.ts","",""
"","10831","a file that is not a deck is refused with a clear reason","e2e","2026-09-06","passed","2026-09-06","","08-presentations.spec.ts","",""
"","12005","a song is removed from the library","e2e","2026-09-06","passed","2026-09-06","","04-songs.spec.ts","",""
"","11558","slide text and speaker notes survive the import","e2e","2026-09-06","passed","2026-09-06","","08-presentations.spec.ts","",""
"","11489","a theme edit is visible on the audience window immediately","e2e","2026-09-06","passed","2026-09-06","theme","09-media-theme.spec.ts","",""
"","11971","a plan saves to a .bpsx file and opens again with its items","e2e","2026-09-06","passed","2026-09-06","","06-plan.spec.ts","",""
"","14221","every panel opens without throwing","e2e","2026-09-06","passed","2026-09-06","","01-boot.spec.ts","",""
"","11556","a passage outline is built with movements and cross-references","e2e","2026-09-06","passed","2026-09-06","study","10-study-displays.spec.ts","",""
"","12773","a misheard book name is recovered phonetically","e2e","2026-09-06","passed","2026-09-06","","05-detect.spec.ts","",""
"","11875","a plain-text song imports with its sections detected","e2e","2026-09-06","passed","2026-09-06","","04-songs.spec.ts","",""
"","12132","a search with no matches says so","e2e","2026-09-06","passed","2026-09-06","","04-songs.spec.ts","",""
"","12032","a spoken reference with number words is detected","e2e","2026-09-06","passed","2026-09-06","","05-detect.spec.ts","",""
"","11758","a detection cues to preview without touching the audience screen","e2e","2026-09-06","passed","2026-09-06","","05-detect.spec.ts","",""
"","12705","Enter stages the passage into preview without touching the program","e2e","2026-09-06","passed","2026-09-06","","02-bible.spec.ts","",""
"","11694","a cue phrase raises confidence over a bare mention","e2e","2026-09-06","passed","2026-09-06","","05-detect.spec.ts","",""
"","11826","a misspelled book is corrected rather than rejected","e2e","2026-09-06","passed","2026-09-06","","02-bible.spec.ts","",""
"","11559","Space takes the preview live","e2e","2026-09-06","passed","2026-09-06","","03-live.spec.ts","",""
"","11534","a diagnosis of the online connector never echoes the key","e2e","2026-09-06","passed","2026-09-06","","11-settings.spec.ts","",""
"","12320","a verse range spoken aloud is captured","e2e","2026-09-06","passed","2026-09-06","","05-detect.spec.ts","",""
"","16811","the audience window renders exactly what was taken","e2e","2026-09-06","passed","2026-09-06","","03-live.spec.ts","",""
"","13218","scripture quoted aloud is matched back to its reference","e2e","2026-09-06","passed","2026-09-06","","05-detect.spec.ts","",""
"","16473","the audience window goes dark on blackout","e2e","2026-09-06","passed","2026-09-06","","03-live.spec.ts","",""
"","11567","a .pptx imports with every slide","e2e","2026-09-06","passed","2026-09-06","","08-presentations.spec.ts","",""
"","11665","licensed translations stay off until a key is supplied","e2e","2026-09-06","passed","2026-09-06","","11-settings.spec.ts","",""
"","13463","the program advances and steps back independently of preview","e2e","2026-09-06","passed","2026-09-06","","03-live.spec.ts","",""
"","14537","the console window opens and finishes booting","e2e","2026-09-06","passed","2026-09-06","","01-boot.spec.ts","",""
